Leech,5
Venomous Leech,1
Tesla,35
Pink Jellyfish,10
Giant Carnivorous Plankton,20
Cod,15
Barracuda,250
Shredder,25
Sand Ray,40
Tae-Su,200
Sea Snake,55
Baltoise,295
Megamouth,295
Culcan,500
Rat,2
Frog,1
Poison Arrow Frog,50
Poison Dart Frog,50
Smoky Bog Amedon,430
Burning Reed Amedon,380
Blind Amphibia,320
Yorilla,500
Confused Yorilla,535
Madzume Yorilla,610
Raja-Yorilla,565
Utsanna Raja-Yorilla,700
Sezuma Yorilla,720
Jellyfish,8
Infant Meshra,2
Green Meshra,15
Mottled Meshra,25
Lair Guardian,35
Elder Guardian,80
Glacier Meshra,220
Deep Meshra,175
Blood Meshra,190
Vermine,5
Large Vermine,10
Giant Vermine,18
Death Vermine,35
Large Death Vermine,275
Dark Vermine,100
Cereb Vermine,325
Large Cereb Vermine,370
Demonic Vermine,115
Cavern Rat,50
Valley Rat,80
Snow Vermine,37
Fire Rat,20
Lava Vermine,30
Bat,8
Lith Bat,25
Flying Foxweir,400
Seta Lizard,190
Herpetad,20
Herpetid,50
Magnum Herpetid,140
Water Lizard,25
Young Rockodile,12
Adult Rockodile,40
Great Rockodile,80
Young Andvari,200
Andvari,325
Utsanna Andvari,370
Co'Acha,2
Ona Chigger,5
Venomous Chigger,40
Juliosaur,1010
Emerald Scorp,6
Ebon Scorp,10
Myrm Farmer,5
Myrm Worker,6
Myrm Scout,8
Male Myrm,15
Myrm Protector,18
Warrior Myrm,30
Noble Myrm,40
Royal Myrm,60
Queen Myrm,240
Dragonfly,10
Red Dragonfly,12
Deadly Wasp,35
Lava Beetle,280
Fire Beetle,260
Scarab Beetle,200
Stinging Beetle,295
Forest Chamelopod,160
Cave Chamelopod,240
Blymoid,50
Blymoid Blocker,80
Blymoid Breaker,105
Island Locust,8
Vile Cricket,50
Island Mantis,350
Butterfly,1
Baby Wendecka,20
Wendecka,35
Elder Wendecka,45
Mama Wendecka,75
Mama Night Wendecka,100
Baby Night Wendecka,25
Night Wendecka,90
Elder Night Wendecka,105
Dawn Wendecka,150
Day Wendecka,150
Dusk Wendecka,210
Midnight Wendecka,290
Twilight Wendecka,385
Large Twilight Wendecka,495
Gloaming Wendecka,460
Large Gloaming Wendecka,565
Large Midnight Wendecka,385
Young Sasquatch,325
Angry Mother Sasquatch,470
Snow Cougar,60
Maha Ruknee,70
Sky Maha,95
Cloud Maha,95
Savannah Maha,85
Plains Maha Ruknee,90
Albino Maha,295
Ice Maha Ruknee,285
Cave Maha Ruknee,210
Island Panther,15
Rodn Panther,15
Utsanna Haremau,760
Haremau,585
Artak Cougar,30
Summer Artak,35
Bolok Cougar,50
Sand Tiger,135
Valley Cougar,290
Valley Panther,365
Pumace,100
Puma,305
Rudremau,445
Haremau Kitten,395
Feral,25
Grey Feral,28
Brown Feral,35
Snow Feral,155
Large Feral,60
Giant Feral,90
Dire Feral,150
Swamp Feral,125
Guard Dog,150
Darshak War Hound,170
Foxweir Pup,1
Foxweir,25
Umber Foxweir,120
Vixen,100
Giant Foxweir,135
Brown Bear,40
Grizzly Bear,55
Honey Bear,85
Chestnut Bear,140
Chocolate Bear,160
Cinder Bear,230
Polar Bear,250
Tree Giant,210
Willow Giant,235
Oak Giant,270
Sturdy Oak Giant,415
Ash Giant,380
Redwood Giant,415
Ironwood Giant,490
Frost Giant,395
Ice Giant,440
Greymyr,265
Mud Golem,410
Ice Greymyr,460
Basalt Greymyr,500
Ancient Greymyr,600
Fiery Bubble,60
Lava Walker,200
Torched Fervor,350
Carrion Arachne,5
Deadly Arachne,10
Small Arachne,15
Arachne,20
Cave Arachne,35
Dust Arachne,50
Web Arachne,75
Mammoth Arachne,45
Vagrant Arachne,270
Stone Arachne,365
Wall Arachne,400
Recluse Arachne,455
Violne Arachne,495
Mammoth Stone Arachne,550
Mammoth Recluse Arachne,545
Black Widow,390
Grey Arachnoid,45
Purple Arachnoid,55
Striped Arachnoid,75
Blue Arachnoid,100
Green Arachnoid,210
Jade Arachnoid,295
Emerald Arachnoid,535
Olive Arachnoid,355
Malachite Arachnoid,435
Azurite Arachnoid,530
Striped Azurite Arachnoid,555
Crimson Arachnoid,635
Pitch Arachnoid,720
Albino Arachnoid,740
Slate Arachnoid,905
Hooded Corpse,25
Underwater Corpse,25
Corpse Warrior,35
Shambling Corpse,110
Walking Corpse,180
Death Furie,200
Detached Spirit,20
Faithless,75
Hooded Shadow,230
Wraith,155
Tortured Soul,105
Greater Wraith,210
Wailing Spirit,215
Ghastly Presence,400
Lesser Spectre,50
Banshee,290
Curate,355
The Curator,310
Guardian of the Item,440
Skeletal,6
Giant Skeletal,20
Skeletal Rage,50
Abyssal Hunter,550
Frozen Abyssal Hunter,595
Revour,340
Darshak Liche,440
Greater Death,820
Dal'Noth,100
Kal'Noth,140
Zol'Noth,220
Vel'Noth,235
Gar'Noth,245
Sar'Noth,270
Xar'Noth,370
Tuz'Noth,470
Hel'Noth,400
Neodew,35
Mildew,50
Wildew,70
Hardew,100
Grandew,120
Wickedew,250
Pallidew,310
Landew,500
Harvest Lyfelidae,120
Snow Lyfelidae,160
Blue Lyfelidae,190
Wyrm Lyfelidae,225
Hunter's Lyfelidae,260
Pink Lyfelidae,285
Thunder Lyfelidae,315
Flower Lyfelidae,345
Tae-Su Lyfelidae,370
Orgaberry Lyfelidae,400
Starbuck Lyfelidae,450
Cold Lyfelidae,470
Scavenger Bird,1
Common Vulture,50
Uncommon Vulture,65
Saber Owl,50
Bloodhawk,20
Agronox,530
Wyvern,370
Lesser Astral Drake,300
Astral Wyrm,500
Forest Drake,335
Fire Drake,650
Frozen Drake,650
Fenix,1
Ethereal Slug,200
Ethereal Walker,210
Ethereal Stalker,300
Ethereal Scarmis Warrior,540
Ethereal Golem,450
Ethereal Chamelopod,550
Ethereal Skeletal,600
Cloud of Ether,500
Giant Slug,10
Scavenger Wurm,25
Cave Wurm,25
Carnivorous Wurm,150
Tahxis Wurm,190
Large Tahxis Wurm,235
Sand Wurm,35
Large Sand Wurm,220
Lesser Sand Wurm,380
Possessed Amakua,925
Dra'ryx,30
Ripper,235
Sazaja,690
Ember Wyrm,335
Serac Wyrm,465
Grey Wyrm,200
Blood Wyrm,290
Sun Wyrm,440
Earth Wyrm,740
Baby Plesio'don,460
Lesser Sarra'don,560
Sarra'don,715
Lesser Sarra'yrm,845
Sarra'yrm,940
Orc,8
T'rool,25
Ko'Kin,50
Gob'Kin,95
Hob'Kin,115
Vol'Kin,160
Winged Snake,10
Boma Winder,40
Crota Winder,45
Venomous Crota Winder,50
Raste Winder,50
Venomous Raste Winder,55
Repens Winder,70
Venomous Repens Winder,75
Deadly Adder,40
Venomous Deadly Adder,50
Carin Viper,100
Venomous Carin Viper,110
Chami Cobra,225
Venomous Chami Cobra,235
Forest Cobra,270
Venomous Forest Cobra,300
Cave Cobra,320
Venomous Cave Cobra,320
Acid Cobra,305
Black Mamba,505
Tok'Han Spawn,40
Grey Tok'Han,280
Olive Tok'Han,365
Russet Tok'Han,420
Green Tok'Han,570
Lime Tok'Han,685
Emerald Tok'Han,720
Tok'Han Shaman,310
Crawler,8
Giant Crawler,45
Green Crawler,55
Deadly Crawler,200
Pazu-Ohwi,210
Scarmis Larva,100
Scarmis Harvester,210
Scarmis Forager,270
Scarmis Tunneler,305
Scarmis Warrior,340
Scarmis Attendant,370
Scarmis Eunuch,670
Scarmis Queen,495
Mantuan,1010
Voolcon,20
Wuss,1
Carnivorous Tor,8
Bloodthorn,8
Goat,25
Wild Boar,150
Horse,1
Starbuck,15
Spriggin,55
Swamp Gas,15
Slime Monster,260
Tipulid,1250
Astral Guardian,360
Castle Guard,45
Honor Guard,90
Guard Veteran,50
Guard Tosser,75
Guard Commander,120
Honor Guard Veteran,110
Dark Knight,235
Captain of the Guard,160
Honor Knight,265
Honor Guard Captain,200
Gan Vara Soldier,200
Gan Vara Warrior,220
Gan Vara Elite,265
Sulran Soldier,215
Sulran Warrior,340
Sulran Elite,535
Kudzu,1
Sun-Zu,1
Moon-Zu,1
Bluli,1
Nightli,1
Earthzu,1
Tangleweed,1
Tangletree,1
Vine Rose,1
Hellebore,315
Star Flower,20
Vicious Star Flower,25
Deadly Poppy,11
Pumpkin,1
Jack-o-Lantern,1
Darshak Thug,30
Darshak Sailor,40
Darshak Marine,45
Darshak Scout,35
Darshak Blade,100
Darshak Sentry,225
Darshak Veteran,290
Darshak Defender,600
Darshak Raider,450
Feral Pup,10
Darshak Marauder,635
Darshak Skirmisher,375
Darshak Brute,200
Darshak Guard,405
Darshak Guardian,500
Darshak Carouser,515
Darshak Pillager,430
Darshak Mercenary,660
Darshak Ravager,555
Darshak Captain,125
Bodyguard,420
High Priest,325
